nComp,count_get,count_put,count_pg,count_xpg
10,10,21,31,21
15,15,31,46,31
20,20,41,61,41
25,25,51,76,51
30,30,61,91,61
50,50,101,151,101
100,100,201,301,201
200,200,401,601,401
500,500,1001,1501,1001
1000,1000,2001,3001,2001
1500,1500,3001,4501,3001
2000,2000,4001,6001,4001
2500,2500,5001,7501,5001
5000,5000,10001,15001,10001
10000,10000,20001,30001,20001
20000,20000,40001,60001,40001
30000,30000,60001,90001,60001
40000,40000,80001,120001,80001
50000,50000,100001,150001,100001
60000,60000,120001,180001,120001
70000,70000,140001,210001,140001
80000,80000,160001,240001,160001
90000,90000,180001,270001,180001
100000,100000,200001,300001,200001