nComp,minbigul,pg,cpg,kpg,xpg
10,0.120079041,0.120780945,0.12122345,0.12184906,0.121086121
15,0.120193481,0.121238708,0.121871948,0.122802734,0.121696472
20,0.120307922,0.121696472,0.122520447,0.123756409,0.122306824
25,0.120422363,0.122154236,0.123168945,0.124710083,0.122917175
30,0.120536804,0.122612,0.123817444,0.125663757,0.123527527
50,0.120994568,0.124443054,0.126411438,0.129478455,0.125968933
100,0.122138977,0.129020691,0.132896423,0.139015198,0.132072449
200,0.124427795,0.138175964,0.145866394,0.158088684,0.14427948
500,0.13129425,0.165641785,0.184776306,0.215309143,0.180900574
1000,0.142738342,0.211418152,0.24962616,0.310676575,0.24193573
1500,0.154182434,0.257194519,0.314476013,0.406044006,0.302970886
2000,0.165626526,0.302970886,0.379325867,0.501411438,0.364006042
2500,0.177070618,0.348747253,0.44417572,0.59677887,0.425041199
5000,0.234291077,0.577629089,0.768424988,1.073616028,0.73021698
10000,0.348731995,1.035392761,1.416923523,2.027290344,1.340568542
20000,0.577613831,1.950920105,2.713920593,3.934638977,2.561271667
30000,0.806495667,2.866447449,4.010917664,5.84198761,3.781974792
40000,1.035377502,3.781974792,5.307914734,7.749336243,5.002677917
50000,1.264259338,4.697502136,6.604911804,9.656684875,6.223381042
100000,2.408668518,9.275138855,,,12.32689667